device_id,chipset,cpu,gpu,screen_size_inch,refresh_rate_hz,display_type,resolution_width,resolution_height,main_camera_mp,main_camera_aperture,has_ois,optical_zoom_x,battery_mah,charging_w,weight_g,thickness_mm,has_5g
oppo_reno10_pro_12413,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Octa-core (1x2.4 GHz Cortex-A78 & 3x2.2 GHz Cortex-A78 & 4x1.9 GHz Cortex-A55),Adreno 642L,6.7,120,"AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 800 nits (HBM), 950 nits (peak)",1080,2412,50,1.8,1,2.0,4600,80,185.0,7.9,1
oppo_find_x8_13407,Mediatek Dimensity 9400 (3 nm),Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720),Immortalis-G925,6.59,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 800 nits (typ), 1600 nits (HBM), 4500 nits (peak)",1256,2760,50,1.8,1,3.0,5630,80,193.0,7.9,1
oppo_a6t_5g_14417,Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6.75,120,"IPS LCD, 120Hz, 1125 nits (peak)",720,1570,50,1.8,0,0.0,6500,45,212.0,8.6,1
oppo_a6c_14418,Unisoc T7250 (12 nm),Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6.75,120,"IPS LCD, 120Hz, 700 nits (typ)",720,1570,13,2.2,0,0.0,7000,15,215.0,8.9,1
oppo_reno14_5g_13866,Mediatek Dimensity 8350 (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,6.59,120,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR10+, 600 nits (typ), 1200 nits (HBM)",1256,2760,50,1.8,1,3.5,6000,80,187.0,7.3,1
oppo_find_n3_12205,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,7.82,120,"Foldable LTPO3 OLED, 1B colors, Dolby Vision, 120Hz, 2800 nits (peak)",2268,2440,48,1.7,1,3.0,4805,67,239.0,5.8,1
oppo_reno12_f_4g_13216,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,6.67,120,"AMOLED, 120Hz, 600 nits (typ), 1200 nits (HMB), 2100 nits (peak)",1080,2400,50,1.8,1,0.0,5000,45,187.0,7.7,1
oppo_a6t_pro_14415,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,6.75,120,"IPS LCD, 120Hz, 1125 nits (peak)",720,1570,50,1.8,1,0.0,7000,45,215.0,8.6,1
oppo_a6_14413,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,6.75,120,"IPS LCD, 120Hz, 1125 nits (peak)",720,1570,50,1.8,1,0.0,7000,45,215.0,8.6,1
vivo_y28_4g_13201,Mediatek Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,6.68,90,"IPS LCD, 90Hz, 760 nits (typ), 1000 nits (HBM)",720,1608,50,1.8,0,0.0,6000,44,199.0,8.0,1
